length,multiplicity,first_sorted_step,padded,area_under_entropy_curve,halfway_information_removed,maximum_step_gain,gain_unevenness,normalized_gain_entropy,curvature,stall_fraction,curve_1,curve_2,curve_3,curve_4,curve_5,curve_6,curve_7,trajectory_pc1,trajectory_pc2
7,12,7,False,0.5742712846480073,0.3271564379783314,0.21810429198553158,0.0934322379853608,0.8216253356652808,0.42917074459676585,0.2857142857142857,0.8091587445126258,0.7818957080144344,0.7818957080144344,0.6728435620216686,0.5092653430324927,0.3638624817087594,0.17524872987965942,6.180003978450899,2.9778635055360376
7,24,7,False,0.5326003403282482,0.4180332263057088,0.2181042919855315,0.06733010674920477,0.9082752940654334,0.3470468394372038,0.14285714285714285,0.8091587445126258,0.7818957080144344,0.6910189196870842,0.5819667736942912,0.4523341021780541,0.289603138718343,0.15482533582117008,4.545585807342296,2.8353200267866665
7,24,7,False,0.5383886131317398,0.4180332263057088,0.21810429198553155,0.07301892178784569,0.8993156520096364,0.4139335473886622,0.14285714285714285,0.8091587445126258,0.7818957080144344,0.6910189196870842,0.5819667736942912,0.4523341021780541,0.29989340148010585,0.19084125548734004,4.715818328361648,2.611477927093671
7,24,7,False,0.5342745174751602,0.4180332263057088,0.2181042919855315,0.06635903992644777,0.9096135263144696,0.3202600050866107,0.14285714285714285,0.8091587445126258,0.7818957080144344,0.6910189196870842,0.5819667736942912,0.45679857456981965,0.29853208350187405,0.15482533582117008,4.603919590473784,2.7924681869678754
7,24,7,False,0.5375568486631318,0.4180332263057088,0.2181042919855315,0.0682498697816924,0.9068972781492537,0.358189165480948,0.14285714285714285,0.8091587445126258,0.7818957080144344,0.6910189196870842,0.5819667736942912,0.45679857456981965,0.30436733894715673,0.17524872987965942,4.700452620605291,2.6655350015519863
7,24,7,False,0.5371356423239797,0.4180332263057088,0.21810429198553155,0.07474420788357362,0.8962393814087131,0.43398108031282284,0.14285714285714285,0.8091587445126258,0.7818957080144344,0.6910189196870842,0.5819667736942912,0.44899284669069395,0.2932108905053856,0.19084125548734004,4.6721607455874645,2.6435486696974553
7,24,7,False,0.5264015093953006,0.4180332263057088,0.2181042919855315,0.0684015690197597,0.9067726523491497,0.36199380578798557,0.14285714285714285,0.8091587445126258,0.7818957080144344,0.6910189196870842,0.5819667736942912,0.44899284669069395,0.2741279875210671,0.12405109504222543,4.35647097569555,3.0586553750500216
7,96,7,False,0.5197708239135357,0.46364928466913147,0.2181042919855315,0.06733010674920477,0.9082752940654335,0.38905514601369284,0.14285714285714285,0.8091587445126258,0.7818957080144344,0.6910189196870842,0.5363507153308685,0.3953140292237759,0.289603138718343,0.15482533582117008,4.034275916058565,2.8750873874772678
7,48,7,False,0.5255590967170273,0.46364928466913147,0.21810429198553155,0.0730189217878457,0.8993156520096364,0.44565159120338854,0.14285714285714285,0.8091587445126258,0.7818957080144344,0.6910189196870842,0.5363507153308685,0.3953140292237759,0.29989340148010585,0.19084125548734004,4.204508437077917,2.6512452877842723
7,48,7,False,0.5272332738639394,0.44306875914560573,0.2181042919855315,0.06312676358017734,0.91474154490566,0.3053717259413581,0.14285714285714285,0.8091587445126258,0.7818957080144344,0.6910189196870842,0.5569312408543943,0.4255041585199486,0.29853208350187405,0.15482533582117008,4.323296581080618,2.814293769892942
7,48,7,False,0.5305156050519108,0.44306875914560573,0.2181042919855315,0.06511152605618825,0.9120252967404442,0.33746563089041276,0.14285714285714285,0.8091587445126258,0.7818957080144344,0.6910189196870842,0.5569312408543943,0.4255041585199486,0.30436733894715673,0.17524872987965942,4.419829611212125,2.687360584477053
7,48,7,False,0.5290557486986567,0.44306875914560573,0.2181042919855315,0.06419611918109301,0.9131019932790917,0.3150915917265179,0.14285714285714285,0.8091587445126258,0.7818957080144344,0.6910189196870842,0.5569312408543943,0.43036409141252846,0.3082519492870338,0.15482533582117008,4.386797538531321,2.76764613775011
7,24,7,False,0.5300943987127588,0.44306875914560573,0.21810429198553155,0.06978810075441415,0.9044754667324475,0.40088278836934893,0.14285714285714285,0.8091587445126258,0.7818957080144344,0.6910189196870842,0.5569312408543943,0.4176984306408229,0.2932108905053856,0.19084125548734004,4.391537736194297,2.665374252622522
7,24,7,False,0.5193602657840797,0.44306875914560573,0.2181042919855315,0.06294805032032637,0.9150087376728842,0.31241787240641516,0.14285714285714285,0.8091587445126258,0.7818957080144344,0.6910189196870842,0.5569312408543943,0.4176984306408229,0.2741279875210671,0.12405109504222543,4.075847966302383,3.0804809579750887
7,24,7,False,0.5400627902786519,0.44306875914560573,0.21810429198553155,0.07149474868256216,0.9010398762217829,0.39952147039089897,0.14285714285714285,0.8091587445126258,0.7818957080144344,0.6910189196870842,0.5569312408543943,0.44428080814987125,0.34637564552348216,0.19084125548734004,4.738868956696919,2.4102256744565134
7,24,7,False,0.5342745174751603,0.44306875914560573,0.2181042919855315,0.07100661675520775,0.9016853749793169,0.3957944474399615,0.14285714285714285,0.8091587445126258,0.7818957080144344,0.6910189196870842,0.5569312408543943,0.44428080814987125,0.3360853827617193,0.15482533582117008,4.5686364356775675,2.634067774149509
7,24,7,False,0.5170686449622482,0.44306875914560573,0.2181042919855315,0.06290903759002646,0.9150614102289435,0.31162695140467755,0.14285714285714285,0.8091587445126258,0.7818957080144344,0.6910189196870842,0.5569312408543943,0.4115874417826058,0.26190600980463297,0.12405109504222543,3.9960004350618097,3.139136739153114
7,24,7,False,0.5220145050874357,0.44306875914560573,0.2181042919855315,0.06423409296682206,0.9130430466530364,0.35008148804366734,0.14285714285714285,0.8091587445126258,0.7818957080144344,0.6910189196870842,0.5569312408543943,0.4115874417826058,0.27069865002718857,0.15482533582117008,4.141457683934372,2.9478721334935436
7,24,7,False,0.5436003685875419,0.4362085839710971,0.21810429198553158,0.0934322379853608,0.8216253356652808,0.5018721752585918,0.2857142857142857,0.8091587445126258,0.7818957080144344,0.6455805255234772,0.5637914160289029,0.5092653430324927,0.3638624817087594,0.17524872987965942,4.8493005297633935,2.0573091504578316
7,36,7,False,0.523153091213888,0.5089100146329774,0.21810429198553158,0.0934322379853608,0.8216253356652808,0.538222890589641,0.2857142857142857,0.8091587445126258,0.7818957080144344,0.6455805255234772,0.49108998536702264,0.4183885547051424,0.3638624817087594,0.17524872987965942,4.034391001374483,2.1206891118043383
7,24,7,False,0.5115765456069354,0.5089100146329774,0.21810429198553155,0.0765788004216223,0.8929680295106399,0.46088878841154707,0.14285714285714285,0.8091587445126258,0.7818957080144344,0.6455805255234772,0.49108998536702264,0.38083525544521535,0.2932108905053856,0.19084125548734004,3.617410783067362,2.3842321890148828
7,24,7,False,0.5008424126782564,0.5089100146329774,0.2181042919855315,0.07040163851954541,0.9035013004510767,0.4079844168710278,0.14285714285714285,0.8091587445126258,0.7818957080144344,0.6455805255234772,0.49108998536702264,0.38083525544521535,0.2741279875210671,0.12405109504222543,3.3017210131754475,2.7993388943674495
