truth_table,minimum_gates,minimum_formula_count,all_formula_count_at_minimum,minimum_probability,boundary_surprisal_bits,canonical_baseline_nand_gates,compression_gain,triad_score,witness
132,9,5184,287096238,1.805666293683723e-05,15.757109182355666,51,42,661.798585658938,"NAND(NAND(x0, NAND(x0, x0)), NAND(x1, NAND(NAND(x0, x2), NAND(NAND(x0, x0), NAND(x1, x2)))))"
133,7,96,2814669,3.4107029991803654e-05,14.83957134254764,143,136,2018.1817025864789,"NAND(NAND(x0, NAND(x0, NAND(x1, x2))), NAND(NAND(x0, x0), NAND(x2, x2)))"
134,11,20736,31241290626,6.637369834760552e-07,20.52288500066187,139,128,2626.9292800847193,"NAND(NAND(x0, NAND(x0, NAND(x1, x2))), NAND(NAND(x0, x1), NAND(NAND(x0, NAND(x0, x2)), NAND(x1, NAND(x1, x2)))))"
135,7,192,2814669,6.821405998360731e-05,13.83957134254764,255,248,3432.2136929518147,"NAND(NAND(x0, NAND(x0, NAND(x1, x2))), NAND(NAND(x0, x1), NAND(x2, x2)))"
136,3,4,405,0.009876543209876543,6.661778097771987,47,44,293.11823630196744,"NAND(NAND(x0, x1), NAND(x0, x1))"
137,9,544,287096238,1.8948349995446475e-06,19.00949634398995,135,126,2395.196539342734,"NAND(NAND(x0, x1), NAND(NAND(x0, x0), NAND(NAND(x0, x0), NAND(NAND(x1, x1), NAND(x2, x2)))))"
138,4,24,3402,0.007054673721340388,7.147204924942229,131,127,907.6950254676631,"NAND(NAND(x0, x1), NAND(x0, NAND(x0, x2)))"
139,5,8,30618,0.00026128421190149584,11.902092427105698,247,242,2880.306367359579,"NAND(NAND(x0, x1), NAND(NAND(x1, x1), NAND(x2, x2)))"
140,4,24,3402,0.007054673721340388,7.147204924942229,127,123,879.1062057678942,"NAND(NAND(x0, x1), NAND(x1, NAND(x1, x2)))"
141,5,8,30618,0.00026128421190149584,11.902092427105698,239,234,2785.0896279427334,"NAND(NAND(x0, x1), NAND(NAND(x0, x0), NAND(x2, x2)))"
142,6,480,288684,0.001662717712100428,9.232241028798029,231,225,2077.2542314795564,"NAND(NAND(x0, NAND(x0, x2)), NAND(x1, NAND(x2, NAND(x0, x0))))"
143,2,4,54,0.07407407407407407,3.7548875021634687,271,269,1010.064738081973,"NAND(x2, NAND(x0, x1))"
144,9,5184,287096238,1.805666293683723e-05,15.757109182355666,51,42,661.798585658938,"NAND(NAND(x0, NAND(x0, x0)), NAND(x2, NAND(NAND(x0, x1), NAND(NAND(x0, x0), NAND(x1, x1)))))"
145,7,96,2814669,3.4107029991803654e-05,14.83957134254764,143,136,2018.1817025864789,"NAND(NAND(x0, NAND(x0, NAND(x1, x2))), NAND(NAND(x0, x0), NAND(x1, x1)))"
146,11,20736,31241290626,6.637369834760552e-07,20.52288500066187,139,128,2626.9292800847193,"NAND(NAND(x0, NAND(x0, NAND(x1, x2))), NAND(NAND(x0, x2), NAND(NAND(x0, NAND(x0, x1)), NAND(x2, NAND(x1, x1)))))"
147,7,192,2814669,6.821405998360731e-05,13.83957134254764,255,248,3432.2136929518147,"NAND(NAND(x0, NAND(x0, NAND(x1, x2))), NAND(NAND(x0, x2), NAND(x1, x1)))"
148,11,20736,31241290626,6.637369834760552e-07,20.52288500066187,135,124,2544.837740082072,"NAND(NAND(x0, NAND(x0, NAND(x1, x2))), NAND(NAND(x0, x0), NAND(NAND(x1, NAND(x1, x2)), NAND(x2, NAND(x1, x1)))))"
149,7,192,2814669,6.821405998360731e-05,13.83957134254764,247,240,3321.4971222114336,"NAND(NAND(x0, NAND(x0, NAND(x1, x2))), NAND(NAND(x0, x0), NAND(x1, x2)))"
150,14,373248,38375290837080,9.72625853402915e-09,26.615467913571017,239,225,5988.480280553479,"NAND(NAND(x0, NAND(NAND(x1, x2), NAND(NAND(x0, x1), NAND(x0, x2)))), NAND(NAND(x0, x0), NAND(NAND(x1, NAND(x1, x2)), NAND(x2, NAND(x1, x1)))))"
151,9,3072,287096238,1.070024470331095e-05,16.511996684519133,263,254,4194.04715786786,"NAND(NAND(NAND(x0, x0), NAND(x1, x2)), NAND(NAND(x1, NAND(x0, x2)), NAND(x2, NAND(x0, x1))))"
152,7,288,2814669,0.00010232108997541096,13.254608841826483,131,124,1643.571496386484,"NAND(NAND(x0, x1), NAND(x2, NAND(x2, NAND(NAND(x0, x0), NAND(x1, x1)))))"
153,5,8,30618,0.00026128421190149584,11.902092427105698,239,234,2785.0896279427334,"NAND(NAND(x0, x1), NAND(NAND(x0, x0), NAND(x1, x1)))"
154,8,192,28146690,6.8214059983607306e-06,17.161499437435,231,223,3827.0143745480054,"NAND(NAND(x0, x1), NAND(NAND(x0, x2), NAND(NAND(x0, x0), NAND(x2, NAND(x1, x1)))))"
155,5,16,30618,0.0005225684238029917,10.902092427105698,271,266,2899.956585610116,"NAND(NAND(x0, x1), NAND(NAND(x0, x2), NAND(x1, x1)))"
156,8,192,28146690,6.8214059983607306e-06,17.161499437435,223,215,3689.7223790485255,"NAND(NAND(x0, x1), NAND(NAND(x1, x2), NAND(NAND(x1, x1), NAND(x2, NAND(x0, x0)))))"
157,5,16,30618,0.0005225684238029917,10.902092427105698,279,274,2987.1733250269613,"NAND(NAND(x0, x1), NAND(NAND(x0, x0), NAND(x1, x2)))"
158,10,3840,2975361012,1.2905996900923295e-06,19.563526985159218,287,277,5419.096974889103,"NAND(NAND(x0, NAND(x2, NAND(x0, x1))), NAND(NAND(x1, x2), NAND(NAND(x1, x1), NAND(x2, NAND(x0, x0)))))"
159,5,32,30618,0.0010451368476059833,9.902092427105698,103,98,970.4050578563584,"NAND(NAND(x0, x1), NAND(NAND(x0, x2), NAND(x1, x2)))"
160,3,4,405,0.009876543209876543,6.661778097771987,47,44,293.11823630196744,"NAND(NAND(x0, x2), NAND(x0, x2))"
161,9,544,287096238,1.8948349995446475e-06,19.00949634398995,135,126,2395.196539342734,"NAND(NAND(x0, x2), NAND(NAND(x0, x0), NAND(NAND(x0, x0), NAND(NAND(x1, x1), NAND(x2, x2)))))"
162,4,24,3402,0.007054673721340388,7.147204924942229,131,127,907.6950254676631,"NAND(NAND(x0, x2), NAND(x0, NAND(x0, x1)))"
163,5,8,30618,0.00026128421190149584,11.902092427105698,247,242,2880.306367359579,"NAND(NAND(x0, x2), NAND(NAND(x1, x1), NAND(x2, x2)))"
164,7,288,2814669,0.00010232108997541096,13.254608841826483,127,120,1590.553061019178,"NAND(NAND(x0, x2), NAND(x1, NAND(x1, NAND(NAND(x0, x0), NAND(x1, x2)))))"
165,5,8,30618,0.00026128421190149584,11.902092427105698,239,234,2785.0896279427334,"NAND(NAND(x0, x2), NAND(NAND(x0, x0), NAND(x2, x2)))"
166,8,192,28146690,6.8214059983607306e-06,17.161499437435,231,223,3827.0143745480054,"NAND(NAND(x0, x2), NAND(NAND(x0, x1), NAND(NAND(x0, x0), NAND(x1, NAND(x1, x2)))))"
167,5,16,30618,0.0005225684238029917,10.902092427105698,279,274,2987.1733250269613,"NAND(NAND(x0, x2), NAND(NAND(x0, x1), NAND(x2, x2)))"
168,3,8,405,0.019753086419753086,5.661778097771987,123,120,679.4133717326384,"NAND(NAND(x0, x1), NAND(x0, x2))"
169,9,128,287096238,4.458435293046229e-07,21.09695918524029,231,222,4683.524939123345,"NAND(NAND(x0, x1), NAND(NAND(x1, x1), NAND(NAND(x0, x2), NAND(NAND(x0, x0), NAND(x2, x2)))))"
170,0,1,3,0.3333333333333333,1.5849625007211563,223,223,353.4466376608178,x0
171,5,4,30618,0.00013064210595074792,12.902092427105698,287,282,3638.3900644438068,"NAND(NAND(x0, x0), NAND(NAND(x1, x1), NAND(x2, x2)))"
172,4,24,3402,0.007054673721340388,7.147204924942229,215,211,1508.0602391628104,"NAND(NAND(x0, x2), NAND(x1, NAND(x1, x2)))"
173,6,48,288684,0.0001662717712100428,12.55416912368539,295,289,3628.154876745078,"NAND(NAND(x0, x2), NAND(NAND(x2, x2), NAND(x0, NAND(x0, x1))))"
174,4,12,3402,0.003527336860670194,8.147204924942228,303,299,2436.014272557726,"NAND(NAND(x0, x0), NAND(x1, NAND(x1, x2)))"
175,2,6,54,0.1111111111111111,3.1699250014423126,111,109,345.52182515721205,"NAND(x2, NAND(x0, x0))"
176,4,24,3402,0.007054673721340388,7.147204924942229,127,123,879.1062057678942,"NAND(NAND(x0, x2), NAND(x2, NAND(x1, x1)))"
177,5,8,30618,0.00026128421190149584,11.902092427105698,239,234,2785.0896279427334,"NAND(NAND(x0, x2), NAND(NAND(x0, x0), NAND(x1, x1)))"
178,6,480,288684,0.001662717712100428,9.232241028798029,231,225,2077.2542314795564,"NAND(NAND(x0, NAND(x0, x1)), NAND(x2, NAND(x1, NAND(x0, x0))))"
179,2,4,54,0.07407407407407407,3.7548875021634687,271,269,1010.064738081973,"NAND(x1, NAND(x0, x2))"
