project,headline,file_path,line,proof_characters,matched_controls,headline_direct_dependencies,control_direct_dependencies,direct_dependencies_lift,headline_closure_size,control_closure_size,closure_size_lift,headline_closure_depth,control_closure_depth,closure_depth_lift,headline_cone_proof_characters,control_cone_proof_characters,cone_proof_characters_lift,headline_reusable_fraction,control_reusable_fraction,reusable_fraction_lift,headline_mean_log_reuse,control_mean_log_reuse,mean_log_reuse_lift,headline_compression_savings,control_compression_savings,compression_savings_lift,headline_compression_ratio,control_compression_ratio,compression_ratio_lift,headline_compression_fraction,control_compression_fraction,compression_fraction_lift,log_closure_lift
pnt,chebyshev_asymptotic,PrimeNumberTheoremAnd/Consequences.lean,177,546,20,4,5.15,-1.1500000000000004,55,670.8,-1.27664135458918,9,13.5,-4.5,8956,1328340.0,-4.073021982717519,0.9636363636363636,0.6410815848911806,0.322554778745183,3.502092514234706,2.198085353885216,1.30400716034949,2216767.0,6102549.2,0.17589174365707905,247.51753014738722,15.617021817614793,231.90050832977244,0.9959761389894429,0.71486796541579,0.2811081735736529,-1.27664135458918
pnt,MediumPNT,PrimeNumberTheoremAnd/MediumPNT.lean,3710,23056,20,40,18.9,21.1,625,302.3,0.8381304371183589,12,13.7,-1.6999999999999993,1567825,1324015.8,0.17806527844739506,0.6304,0.6771039910533265,-0.046703991053326566,1.727111766623046,2.2119929065947965,-0.48488113997175053,4106368.0,3675022.15,0.1490717231626668,2.619149458644938,2.7381893290012265,-0.11903987035628827,0.7236919858030912,0.7281431768140896,-0.004451191010998334,0.8381304371183589
pnt,WeakPNT,PrimeNumberTheoremAnd/Wiener.lean,2446,997,20,12,13.05,-1.0500000000000007,383,3189.95,-1.919357501096723,18,12.95,5.050000000000001,1321174,2782544.6,-0.7141075860080139,0.5535248041775457,0.481838378920315,0.07168642525723068,1.8667475007905203,1.379026320473995,0.48772118031652534,3386597.0,23392682.0,-1.8059675469467038,2.563323983063548,8.045618679038805,-5.482294695975257,0.7193631550897441,0.8778997578268772,-0.1585366027371331,-1.919357501096723
formalized-logic,incomplete,Foundation/FirstOrder/Incompleteness/First.lean,17,1286,20,15,7.5,7.5,1272,997.15,0.956308133762743,20,20.9,-0.8999999999999986,273024,214497.3,1.3293266430983053,0.8073899371069182,0.7745481757575837,0.032841761349334475,1.8654158487255437,1.8621998638052677,0.0032159849202759716,849959.0,690616.05,1.2708955505496018,3.1131292487107363,3.5040807270084557,-0.3909514782977195,0.7568761058715938,0.7364726323338964,0.020403473537697447,0.956308133762743
formalized-logic,incomplete_of_RE,Foundation/FirstOrder/Incompleteness/First.lean,59,82,20,7,3.85,3.15,1281,1040.65,0.8470588479889631,20,20.25,-0.25,274762,223277.35,1.261941176191181,0.8071818891491023,0.7543625800768637,0.05281930907223853,1.8648162864042477,1.783800219184079,0.08101606722016874,855142.0,705322.0,1.2234239956269626,3.112300827625363,3.6778772013785477,-0.5655763737531845,0.7568271286764185,0.7303343806984646,0.02649274797795398,0.8470588479889631
formalized-logic,first_incompleteness,Foundation/FirstOrder/Incompleteness/ProvabilityAbstraction/Basic.lean,214,129,20,6,3.7,2.3,1291,777.25,1.9513399211443305,21,21.1,-0.10000000000000142,275761,166207.45,3.223886920508871,0.8094500387296669,0.659229670044792,0.15022036868487487,1.8636352248003152,1.6333610823971405,0.23027414240317468,853758.0,534399.95,3.1949518183475565,3.096007049582791,5.3462570755070855,-2.2502500259242946,0.7558597951871548,0.6305053729944431,0.12535442219271176,1.9513399211443305
formalized-logic,consistent_unprovable,Foundation/FirstOrder/Incompleteness/Second.lean,19,134,20,3,4.35,-1.3499999999999996,1159,879.7,1.5734976421811542,25,19.0,6.0,246982,189130.65,2.361792893216034,0.811044003451251,0.728218728677289,0.08282527477396207,1.8836560736104802,1.6944710963178884,0.18918497729259176,809260.0,604662.95,2.5969689062668078,3.276595055510118,3.034845368683796,0.24174968682632203,0.7661691165471549,0.6614018810709585,0.10476723547619637,1.5734976421811542
formalized-logic,craig_consistent_unprovable_of_RE,Foundation/FirstOrder/Incompleteness/Second.lean,23,61,20,6,4.25,1.75,1166,949.05,1.1219417464928112,26,18.95,7.050000000000001,247453,203644.55,1.6248144738921546,0.8113207547169812,0.7673769629724214,0.04394379174455976,1.8843041604440962,1.8553511101675633,0.028953050276532943,812019.0,652898.3,1.5545149587293263,3.281508003540066,4.4232136529041535,-1.1417056493640874,0.7664374329854872,0.740512566248826,0.025924866736661167,1.1219417464928112
schoenflies,jordan_schoenflies,Schoenflies/JordanSchoenflies.lean,46,160,20,7,8.7,-1.6999999999999993,3441,2710.25,0.2451902807440529,24,24.35,-0.3500000000000014,1725093,1231231.55,0.35090120175597406,0.6841034582970067,0.7096886129047524,-0.025585154607745686,1.5199739874271574,1.5884175968144008,-0.06844360938724336,6114960.0,5570544.2,0.0942194821451654,3.5447132415469773,4.61071773613257,-1.0660044945855929,0.779964115038508,0.82022257585163,-0.04025846081312201,0.2451902807440529
lean-liquid,liquid_tensor_experiment,src/challenge.lean,28,626,20,12,11.95,0.05000000000000071,3366,2365.95,0.3531800595132575,22,20.7,1.3000000000000007,1212332,760480.6,0.46774240859596006,0.6399286987522281,0.6625485866768515,-0.022619887924623328,1.4858025213901507,1.5814937561435194,-0.09569123475336871,6615083.0,5944935.2,0.10688672085218798,5.4564945905906965,7.833805063173753,-2.3773104725830567,0.8451171938628526,0.8866565028430106,-0.04153930898015801,0.3531800595132575
lean-liquid,first_target,src/liquid.lean,37,1649,20,19,11.3,7.699999999999999,2308,2342.6,-0.014382613981390513,20,20.95,-0.9499999999999993,734645,750274.1,-0.020165284542127182,0.6637781629116117,0.6632720291961856,0.0005061337154261825,1.5869518002585192,1.5837156447094802,0.0032361555490389993,5899885.0,5924787.7,-0.004170785914263675,8.030933307924235,7.9075558220716715,0.12337748585256314,0.8892694734969923,0.8876433630505695,0.0016261104464228016,-0.014382613981390513
sphere-eversion,sphere_eversion,SphereEversion/Global/Immersion.lean,307,1391,20,9,7.65,1.3499999999999996,616,567.8,0.08211922045896092,15,13.9,1.0999999999999996,210271,192484.6,0.08949929702777837,0.6087662337662337,0.6304812363845724,-0.021715002618338697,1.405267918539411,1.444154143337568,-0.038886224798156954,753950.0,740354.0,0.018293119389529267,3.5856109496792237,3.8525020207185072,-0.26689107103928356,0.7819265500336541,0.7937662555182083,-0.011839705484554264,0.08211922045896092
