project,name,statement_density,control_density,difference,match_distance
ten-proofs,pairGraphCopy_averageDisagreement_le_tau,0.5741001,0.6996179,-0.12551785,1.6053914643862826
ten-proofs,manuscriptHammingRadius_le_dimension,0.7183542,0.69551563,0.022838593,0.0
ten-proofs,manuscriptEntropyGap_pos,0.7189358,0.7741812,-0.0552454,0.0
ten-proofs,twoDegenerateExtremalCounterexample,0.5681001,0.67841804,-0.110317945,0.582894265687279
ten-proofs,two_eq_zero_zmod_two,0.8300773,0.79587775,0.034199536,0.0
ten-proofs,correction_coe,0.7193819,0.7365393,-0.017157376,0.01621042685139955
ten-proofs,shiftedQuotient_card,0.7746887,0.7196248,0.055063903,0.0
ten-proofs,modTwoPolynomial_X,0.76601744,0.74739647,0.018620968,0.0
ten-proofs,pi₂_apply,0.7149153,0.77360547,-0.05869019,0.0
ten-proofs,pi₂_liftedIntegralTransvection,0.6824025,0.78119904,-0.09879655,0.0
ten-proofs,elementaryTransvections_subset_pi₂_range,0.68783176,0.6841868,0.0036449432,0.0
ten-proofs,pi₂_surjective_of_elementaryGeneration,0.7004827,0.75274783,-0.052265108,0.0
ten-proofs,levelThreeIntegerReduction_constantTerm,0.65302676,0.6454009,0.007625878,0.027084725542207647
ten-proofs,constantTermToLevelThree_apply_coe,0.6778914,0.70531964,-0.02742827,0.06996190731352141
ten-proofs,fg_of_finiteIndex_subgroup,0.73930913,0.7435266,-0.004217446,0.0
ten-proofs,finiteGeneratedCoset_component_summable,0.6615447,0.5826122,0.078932464,0.03986020282761832
ten-proofs,suslinEvaluation_constantSection,0.6675054,0.7533878,-0.085882425,0.0
ten-proofs,suslinConstantSection_map_elementary_le,0.67455643,0.68230265,-0.0077462196,0.0
ten-proofs,localGlobal_transvection_mem,0.67248166,0.70531964,-0.032837987,0.011505527321631083
ten-proofs,localGlobalElementarySubgroup_integralPolynomial,0.70026314,0.7526494,-0.052386284,0.01402122110555527
ten-proofs,suslinBivariateConstantRingHom_baseChange,0.64710474,0.7539629,-0.106858134,0.0
ten-proofs,suslin_transvection_conj_noncomposable,0.68532616,0.6734379,0.011888266,0.010713988969194094
ten-proofs,suslin_transvection_conj_opposite_factor,0.66529685,0.75878423,-0.09348738,1.9403694146189046
ten-proofs,suslin_eventual_of_dilation,0.64130694,0.70531964,-0.06401271,0.03415671477152215
ten-proofs,quotientFractionLift_algebraMap,0.7121498,0.70813954,0.00401026,0.0
ten-proofs,integralSpecialLinear_lastColumn_stableRange_shorten,0.5732727,0.6586042,-0.0853315,0.0845180382274135
ten-proofs,exists_second_coordinate_avoiding_minimalPrimes,0.6574227,0.73156357,-0.07414085,0.13312921179496492
ten-proofs,bassStableRangeThree_of_noetherian_domain_dimension_two,0.61421335,0.70531964,-0.091106296,0.011445130574641048
ten-proofs,dvr_mod_uniformizer_one_quotient_maximalIdeals_finite,0.655349,0.73156357,-0.07621455,0.3975142987707701
ten-proofs,unitPairNormalizer_smul_auxiliary,0.69952685,0.64268386,0.056842983,0.013931628026795281
ten-proofs,unitPairNormalizer_smul_other,0.6970443,0.71496373,-0.017919421,0.011628253525138802
ten-proofs,lowerBlockMatrix_succ_zero,0.74110544,0.72230065,0.018804789,0.017100419957897857
ten-proofs,stabilizedTwoSpecialLinear_castSucc_last,0.6939539,0.7194626,-0.025508702,0.012283369772922133
ten-proofs,stabilizedTwoSpecialLinear_castSucc_two,0.69423467,0.7787089,-0.084474206,0.0
ten-proofs,stabilizedTwoSpecialLinear_mul,0.72760355,0.6860409,0.041562676,0.010713988969194094
ten-proofs,stabilizedTwoHom_castSucc_two,0.7060286,0.6784646,0.02756399,0.0
ten-proofs,map_elementaryThreeSubgroup_le,0.6965118,0.6456166,0.050895214,0.01658025000008317
ten-proofs,elementaryThree_transvection_mem,0.6668416,0.6454009,0.021440744,0.0
ten-proofs,elementaryThree_transvection_smul_other,0.68996394,0.7635038,-0.07353985,0.02357095787139243
ten-proofs,rotation_right,0.7350504,0.7412176,-0.006167233,0.022830495182039806
ten-proofs,specialLinearThree_map_transvection,0.68746054,0.7196442,-0.032183647,0.05079113734902427
ten-proofs,suslin_exists_finset_denominators_of_maximal,0.664711,0.7081988,-0.043487787,0.010117384130929195
ten-proofs,suslinAwayToAtPrime_algebraMap,0.6885549,0.6745822,0.0139727,0.009297636127543665
